"阶段","模块","主题/文章","发表时间","实战问题","适用场景","关键方法","实操步骤","常见坑","建议工具/模型","练习任务","掌握标准","来源"
"P2 进阶设计","试验类型与设计","The Stepped-Wedge Clinical Trial: Evaluation by Rolling Deployment","2018-02-13","干预必须分批上线时，如何估计干预效果？","医院、学校、社区等集群无法同时实施干预，且上线顺序可随机。","阶梯楔形设计；集群随机；时间效应调整；混合效应模型。","画出集群-时间矩阵；随机上线顺序；预设时间固定效应和集群随机效应；报告ICC和敏感性分析。","把时间趋势当成治疗效应；忽略集群相关；上线期污染未记录。","R: lme4/glmmTMB/geepack；模型: GLMM或GEE。","用模拟数据生成10个集群6个时期，比较未调时间与调时间模型的估计差异。","能解释为什么必须调整日历时间，并能给出样本量受ICC影响的方向。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶设计","试验类型与设计","Factorial Clinical Trial Designs","2025-01-15","能否在一个试验中同时评估多个干预组件？","两个或多个干预相对独立，研究者关心主效应及可能交互。","2x2或多因素设计；主效应；交互作用；边际均值。","列出所有组合臂；预设是否检验交互；按主效应或交互目标计算样本量；用回归模型包含因子项。","交互检验功效不足；发现交互后仍只解释主效应；依从性差导致组合臂解释困难。","R: lm/glm/emmeans；模型: 含交互项的线性或广义线性模型。","构造2x2生活方式干预数据，估计两个主效应和交互项，并画边际均值图。","能区分主效应问题和交互问题，并说明样本量为何通常按最难检测的目标设计。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","试验类型与设计","Platform Clinical Trials for the Efficient Evaluation of Multiple Treatments","2025-02-17","如何在同一试验基础设施中连续比较多个治疗？","疾病领域治疗快速迭代，多个候选治疗需共享对照、允许臂进入或退出。","平台试验；共享对照；响应适应性随机；贝叶斯或频率学监测。","定义平台主方案和域方案；设置进入/退出规则；控制同时比较错误率；建立数据监测节奏。","不同时间进入的治疗与对照不可比；操作复杂度低估；多重性控制不清。","R: rpact/brms/rstanarm；专用模拟框架。","设计一个三治疗臂平台方案，写出共享对照、疗效停臂和无效停臂规则。","能说明平台试验与传统多臂试验的区别，并能识别非同时对照的偏倚风险。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶设计","试验类型与设计","What Is a Stepped-Wedge Cluster Randomized Trial?","2025-03-10","何时应把阶梯楔形设计做成集群随机？","干预作用于群体层面，或个体随机会产生明显污染。","集群随机；交叉到干预；时期固定效应；集群内相关。","确认干预单位是集群；设定每期测量窗口；记录暴露滞后期；分析时同时建模集群和时期。","把个体数当独立样本量；未处理实施过渡期；混淆开放队列和闭合队列。","R: lme4/geepack/clubSandwich。","比较平行集群RCT与阶梯楔形RCT在同一ICC下的有效样本量。","能画出设计图，并清楚说明集群、时期、个体三层结构。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","试验类型与设计","Cluster Randomized Trials: Evaluating Treatments Applied to Groups","2015-05-26","治疗作用于群体时，如何避免把相关数据当独立数据？","医院政策、医生培训、学校健康项目、社区干预。","集群随机；ICC；设计效应；分层或匹配集群。","确定随机单位；估计ICC；按设计效应膨胀样本量；分析时用集群稳健SE、GEE或混合模型。","只按个体随机试验算样本量；集群数量过少仍用大样本近似；基线不平衡未预设调整。","R: geepack/lme4/sandwich；Stata: xtgee/mixed。","用不同ICC计算设计效应，观察所需样本量如何变化。","能解释ICC、设计效应，并能选择集群层面或个体层面分析。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","试验类型与设计","Noninferiority Trials: Is a New Treatment Almost as Effective as Another?","2015-06-16","新治疗稍弱但更安全或更方便，如何证明不劣？","已有有效治疗，新方案有便利性、安全性、成本或可及性优势。","非劣效界值；单侧检验；置信区间；ITT与PP双重分析。","用临床理由定非劣界值；保留历史疗效证据；预设ITT和PP；按CI与界值比较结论。","事后选择非劣界值；把无显著差异解释为非劣；依从性差反而推向非劣。","R: TrialSize/PropCIs；常规模型加CI判读。","给定风险差和95%CI，判断是否非劣、是否优效，并写一句临床解释。","能独立解释非劣界值的临床含义，并说明ITT与PP结论不一致时的风险。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","试验类型与设计","Pragmatic Trials: Practical Answers to Real World Questions","2016-09-20","治疗在真实世界里是否有效，而不仅是理想条件下有效？","医疗政策、常规护理路径、真实临床环境中的有效性问题。","解释性-实用性连续谱；广泛纳入；真实世界结局；实施可行性。","明确目标人群和真实场景；减少额外访视；选择患者重要结局；记录治疗交叉和执行差异。","设计过度理想化；数据质量控制不足；把执行失败和治疗无效混为一谈。","PRECIS-2框架；R: tidyverse/survival。","把一个严格RCT方案改写为实用性RCT，列出至少5处设计变化。","能说明外部效度与内部效度的取舍，并提出可执行的数据质量方案。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P3 专题深化","试验类型与设计","Sequential, Multiple Assignment, Randomized Trial Designs","2023-01-24/31","患者治疗需按反应动态调整时，如何比较治疗策略？","慢病、心理行为干预、肿瘤序贯治疗等需要多阶段决策。","SMART设计；动态治疗方案；再随机化；嵌入式策略比较。","定义每个阶段的反应标准；列出可行策略；设计再随机化点；用加权或GEE估计策略效果。","只比较单个治疗而忽略策略；反应者定义事后变化；样本量未覆盖多阶段比较。","R: qlaci/DTRreg/geepack。","设计一个两阶段SMART：初治、反应评估、强化或转换治疗，并画策略树。","能把临床路径转成动态治疗策略，并解释再随机化的目的。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶设计","试验类型与设计","The Use of Historical Controls in Clinical Trials","2023-09-28","能否用历史对照减少或替代同期对照？","罕见病、伦理限制、外部数据质量高且可比性强的场景。","历史对照；外部对照；倾向评分；贝叶斯借力；敏感性分析。","评估可比性；统一入排标准和结局定义；建模混杂；预设借力强度；做偏倚敏感性分析。","历史治疗环境已变；结局测量不一致；只调可见混杂，忽略不可测混杂。","R: MatchIt/WeightIt/brms；目标试验模拟。","用真实世界历史队列构造外部对照，比较未调整、匹配、加权后的效果估计。","能列出使用历史对照的必要条件，并能解释为什么同期随机对照仍是基准。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","干预分配与随机化","Equipoise in Research: Integrating Ethics and Science in Human Research","2017-02-07","什么时候随机分配在伦理上成立？","比较治疗优劣尚无确定答案，且患者风险收益可接受。","临床均势；知情同意；风险收益评估；伦理审查。","梳理现有证据；说明不确定性；明确保护措施；在方案中写清退出和救援治疗。","研究者个人偏好替代群体证据；对照组护理低于标准；知情同意过度技术化。","伦理审查清单；CONSORT/SPIRIT。","为一个RCT写一段均势说明，包含现有证据、不确定性和参与者保护。","能用普通语言解释为什么随机化不是把患者置于不公。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶设计","干预分配与随机化","Covariate-Constrained Randomization","2025-06-30","集群数少时，如何让关键协变量在组间更平衡？","集群RCT、小样本随机化、基线特征强烈影响结局。","协变量约束随机化；平衡指标；随机化空间限制；有效推断。","选定少量关键协变量；生成大量随机分配；保留平衡较好的方案；从合格集合中随机抽取。","用太多协变量过度约束；未保存随机化集合；分析阶段忽略设计。","R: cvcrand/CRTpower。","模拟20个集群，比较完全随机与协变量约束随机的基线差异分布。","能说明约束随机化仍需随机抽取，并能报告约束规则。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","干预分配与随机化","Randomization in Clinical Trials: Permuted Blocks and Stratification","2018-06-05","如何在入组过程中保持组间人数和关键因素平衡？","小样本、多中心、关键预后因素需要平衡的RCT。","置换区组；随机区组大小；分层随机；分配隐藏。","确定分层变量；设置随机区组大小；由独立系统生成序列；分析模型纳入分层因素。","固定区组大小导致可预测；分层变量过多造成空层；分配隐藏不严。","R: blockrand/randomizeR；REDCap随机化模块。","生成按中心和疾病严重度分层的随机表，检查每层平衡。","能区分随机序列生成、分配隐藏和盲法三件事。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶设计","干预分配与随机化","Use of Run-in Periods in Randomized Trials","2020-07-14","随机前筛掉不依从或不能耐受者，会带来什么影响？","需确认依从性、稳定基线、洗脱既往治疗或安全性筛查。","run-in期；富集设计；外部效度；选择偏倚。","说明run-in目的；记录排除人数和原因；将适用人群写入estimand；报告对推广性的限制。","美化疗效和安全性；不报告run-in淘汰；把结果推广到所有患者。","CONSORT流程图；描述性统计。","用流程图量化run-in前后样本人群变化，并讨论外部效度。","能判断run-in是提高内部效度还是牺牲外部效度，并写出报告要点。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局定义与测量","When Can Intermediate Outcomes Be Used as Surrogate Outcomes?","2020-02-27","中间指标什么时候能替代真正临床结局？","最终结局罕见或需长期随访，存在候选生物标志物或中间终点。","替代终点验证；个体层面关联；试验层面关联；临床相关性。","明确患者重要结局；检查替代指标证据；评估治疗对替代和真实结局的一致性；保留不确定性表述。","相关不等于可替代；只看个体相关；忽略治疗机制改变。","Meta-analysis；R: metafor。","评估一个生物标志物作为替代终点的证据表，区分强证据和弱证据。","能说清替代终点需要跨试验证据，而不仅是患者层面相关。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","结局定义与测量","Patient-Reported Outcome Measures in Clinical Research","2022-07-15","如何把患者主观感受变成可信的试验结局？","疼痛、生活质量、功能状态、症状负担等患者报告结局。","PRO量表；信度；效度；响应性；缺失处理。","选择已验证量表；设定测量时间点；预定义评分和MCID；监控填写率；分析缺失机制。","自行改量表未验证；多时间点多量表未控多重性；把统计显著误作患者有感。","R: psych/lavaan/mice；PROMIS工具。","为疼痛RCT选择PRO量表，写出评分、主要时间点、MCID和缺失处理。","能同时评价量表质量、患者意义和统计分析可行性。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P1 基础必会","期中数据与安全监测","Interpretation of Clinical Trials That Stopped Early","2016-04-19","提前停止的试验结果应如何谨慎解读？","因疗效、安全性、无效或招募问题提前停止的RCT。","提前停止；疗效高估；信息量；监测边界。","确认停止原因；查看预设规则；检查事件数和随访长度；报告效果估计的不确定性。","把早停结果当最终稳定效果；未区分疗效早停和行政早停；忽略长期安全性。","试验监测报告；R: survival/rpact。","阅读一篇早停试验，提取停止规则、观察事件数、效应大小和潜在高估风险。","能判断早停是否按预设执行，并能解释为什么效果可能偏大。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶监测","期中数据与安全监测","Interim Analyses During Group Sequential Clinical Trials","2021-10-01","多次期中分析如何控制总体I类错误？","大型RCT，需要在试验中途因疗效或安全性做正式决策。","组序贯设计；O'Brien-Fleming；Pocock；alpha spending。","预设期中次数和信息量；选择alpha花费函数；制定疗效/安全/无效边界；保持盲态和独立DMC。","期中分析次数临时增加；只看名义P值；DMC和研究团队信息隔离不足。","R: gsDesign/rpact/ldbounds。","设计一个2次期中+最终分析的组序贯方案，列出每次名义显著性界值。","能解释信息时间和alpha花费，并能读懂边界图。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
"P2 进阶监测","期中数据与安全监测","Assessing Unexpected Circumstances That Lead to Modifications in Clinical Trial Design, Conduct, or Analysis: Application of the CONSERVE Reporting Guideline","2022-03-01","突发事件迫使方案变化时，如何透明报告？","疫情、供应中断、招募失败、结局采集改变等意外情况。","CONSERVE报告；方案偏离；修订记录；敏感性分析。","记录事件时间线；说明改变前后影响；更新SAP；报告主分析和敏感性分析。","只在讨论中轻描淡写；未说明谁在何时决定修改；未评估偏倚方向。","CONSERVE清单；SAP修订日志。","为一个受疫情影响的RCT写CONSERVE式变更摘要。","能把设计、执行、分析三个层面的变化分别说明，并给出敏感性分析。","https://jamanetwork.com/channels/trials/pages/guide-to-statistics-and-methods-for-trials"
