"order","module","folder","video","core_practice","deliverables","generalization"
"1","R入门与项目结构","G:\第二期统计学\1R入门Rstudio","1R入门part1;2R入门part2","读取rhc.csv并完成数据体检；练习csv/xlsx/sav/RData转换","项目模板;inspect_data函数;数据体检报告","任何新数据先做结构、类型、缺失、唯一ID检查"
"2","tidyverse数据清理","G:\第二期统计学\2tidyverse数据清理","3 tidyverse数据清理","清理SPSSsample10和excel_file；练习宽长转换和join","clean_data.csv;data_dictionary.csv;清理日志","把清理流程抽象为选择变量、改名、重编码、派生变量、质控"
"3","真实临床表格清理","G:\第二期统计学\3聂老师清理代码","4聂老师清理心得","AU/PLT/RC/TGT多表读取、时间整理、患者级摘要","患者级分析表;清理审计表;化验指标整理函数","换成任意化验、药物、随访表时复用同一套主键和时间逻辑"
"4","统计思维与模型选择","G:\第二期统计学\4统计思维","5统计思维part1;6统计思维part2","t检验、方差分析、卡方、秩和、回归、ROC、生存分析各跑最小例子","方法选择表;模型解释模板;诊断清单","按结局类型和研究设计选择方法，而不是按软件菜单选方法"
"5","缺失值与异常值","G:\第二期统计学\5缺失值异常值","6统计思维part2;7缺失值2table1sci","missdata.sav缺失图谱；异常值识别；完整案例与插补对比","missing_report;outlier_report;sensitivity_results","每篇论文都要交代缺失机制、处理方法、敏感性分析"
"6","Table 1与SCI表格","G:\第二期统计学\6table1sci","7缺失值2table1sci","RHC未匹配与匹配后Table 1；加入SMD","table1_unmatched;table1_matched;table1_note","RCT看随机后可比性；真实世界看平衡诊断，优先SMD而非P值"
"7","公共数据库","G:\第二期统计学\7公共数据库","8公共数据库概述1;9公共数据库概述2","CHARLS变量追溯、横断面与纵向清理","charls_variable_map;clean_cross_section;clean_longitudinal","先读用户手册、问卷、codebook，再写清理代码"
"8","多库联合","G:\第二期统计学\多库联合","公共数据库后插入专题","7库RData共同变量整理；pooled与分库异质性分析","harmonized_variable_dictionary;total7_clean_minimal;heterogeneity_report","多库联合的核心是变量协调、目标人群对齐、数据库异质性解释"
"9","RCT设计与分析","G:\第二期统计学\9RCT","13AI4与RCT1;14RCT2;15RCT3;16RCT4;17RCT5","拆解RCT文献；复算样本量；写SAP；练Win Ratio","rct_protocol_skeleton;sap_skeleton;sample_size;win_ratio_report","从PICO到SAP，先定义主要结局和分析集，再谈模型"
"10","真实世界研究","G:\第二期统计学\10真实世界","18真实世界1;19真实世界2;20真实世界3;21真实世界4","RHC案例DAG、PS、matching、IPTW、overlap weighting、target trial","causal_dag;ps_balance_report;effect_summary;target_trial_protocol","观察性研究先画因果问题，再做平衡诊断和敏感性分析"
"11","环境暴露迁移","G:\第二期统计学\环境PM2.5交叉","第10章后进阶","读取CHAP netCDF；按地区/年份抽取暴露；与人群数据合并","exposure_extract_demo;pm25_area_year;environment_epi_plan","把公共数据库、空间暴露和真实世界因果推断连接起来"
